id,name,category,location,floor,status,details_url,image_url,image_source,reference_url,notes
1-2-coffee-company-bd99c38a,1 : 2 Coffee Company,เครื่องดื่มและคาเฟ่,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=1%20%3A%202%20Coffee%20Company%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmG9z69IHKEXL0OOhB3lewzqfbNpsqW1OSRV-u0ppnQm0tTJXG8fZoL5KI9AgsV8CC7KXvft_QBqIUfpTSwxYFlxGCEN75dh-3lJvW654xbihWeumNjzWUv_3qYkigd6YtqT2itsQ=w408-h306-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=1%20%3A%202%20Coffee%20Company%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
shop-379183e4,ชาตรามือ,เครื่องดื่มและคาเฟ่,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B7%E0%B8%AD%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlZ0ftpYmS6OpaLsHbeun4N_gLFf41vMSXR1stpRxrBDIRg7bpzEXFh8jo-otvRx5W3tnPw8GzWrzoC4giycjsDgJKjXQ4xaJ4QTnHcPy-2jfX4u12xNnweFtzwhrt21LcaC6r_=w408-h544-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=%E0%B8%8A%E0%B8%B2%E0%B8%95%E0%B8%A3%E0%B8%B2%E0%B8%A1%E0%B8%B7%E0%B8%AD%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
shop-a8e5eef7,เนื้อแท้,ปิ้งย่างและเนื้อ,หน้าศูนย์การค้า,1,needs-review,https://www.google.com/maps/search/?api=1&query=%E0%B9%80%E0%B8%99%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%81%E0%B8%97%E0%B9%89%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlgrN6lVGMApFNtFC-fuAIguzT3YxcDgFsHTaQSz1BUgwhRwV_kkZUGMgYZcI0phHZCAGXkvikUyN6mJEoxYwDLSX8Gt4yTYvPi8HGORPKcKbvOoCQDqbS7LsqZ6Jr67pDO7S9F=w152-h86-k-no,google-maps,https://www.punpro.com/p/Seacon-bangkae-all-the-restaurants-2024,Google Maps evidence was absent or ambiguous for the exact mall branch; checked 2026-09-21. Retained from Punpro's 2024 floor list for follow-up.
shop-85ae5218,สุกี้ตี๋น้อย,ชาบูและสุกี้,หน้าศูนย์การค้า,1,active,https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%B8%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmaQxnWiGKTGbr8OZIiIGVaVGC1hQUoW0V_vUlLKpN9iLqEL9IbBqipyJJBo42lI3pTCqbYla_skqmjy7BdsebGba0kIS_0nC-3OT09vevk2zZEhVZlzydL1MmEErByluC9MuX6pBAZQ-W0=w408-h306-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=%E0%B8%AA%E0%B8%B8%E0%B8%81%E0%B8%B5%E0%B9%89%E0%B8%95%E0%B8%B5%E0%B9%8B%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A2%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
shop-3e71049b,โอ้กะจู๋,สุขภาพ,หน้าศูนย์การค้า,1,needs-review,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%AD%E0%B9%89%E0%B8%81%E0%B8%B0%E0%B8%88%E0%B8%B9%E0%B9%8B%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkFd1XtAjWh_vXJ-ht07sUmRGHPDUCK4BNWe3gGCnOTl_pEgz0xXnpfRx8hDERLZbfEkxr3-VdTcPJKeqh_ScdT6jgXcVM8rIbqLgTcNBqeWl2kj_R-QdsN2KKPYInsGk_BslY=w408-h306-k-no,google-maps,https://www.punpro.com/p/Seacon-bangkae-all-the-restaurants-2024,Google Maps evidence was absent or ambiguous for the exact mall branch; checked 2026-09-21. Retained from Punpro's 2024 floor list for follow-up.
amazon-cafe-942cdc13,Amazon Cafe,เครื่องดื่มและคาเฟ่,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=Amazon%20Cafe%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnjajj10XhYAfJASpZ3j95EqaWdZJu81FLp22noRn9uGRe8aRZfcB2iX4mAyTACiBjFeYWrUMa95z0Lq9aY-yPRJ_UOJy5-LSEjFCKjMmAALe9Cv1eUezCBYEScCWzJ5v48Xlc=w408-h306-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=Amazon%20Cafe%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
amor-e5bb0afe,Amor,ขนมและเบเกอรี,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=Amor%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkO5OOvnDbVxgZLJT8SyIjun0TuBw2ZLkkzPBOoqMliUIZOsMxl4vflJ6MfOdl_7QvhyN5SAMRYthv6GEDWa5dh4Gd9f6C21dAW1rSA6h7aR6U5K34O4v3iebvsCwsW_Xaof2TxPg=w408-h306-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=Amor%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
bonchon-f61af498,BonChon,อาหารจานด่วนและตะวันตก,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=BonChon%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnMyvx70YVKow-9YENFtUWgfo3chsG2ImR2kVXBfx_tfgdZXrdds0LeInwamtgs5avnwdaTOLTtKQuve-bjfeMEgiBMgZw-l2xoCJm80otJrL3eC0KKpRprbR-EtKx6VElXUCyi=w408-h292-k-no,google-maps,https://www.google.com/maps/search/?api=1&query=BonChon%20Seacon%20Bangkae,Google Maps matched the Seacon Bangkae branch and displayed current hours; checked 2026-09-21.
chagee-seacon-bangkae-7039b005,CHAGEE Seacon Bangkae,เครื่องดื่มและคาเฟ่,อาคารหลัก,1,active,https://www.google.com/maps/search/?api=1&query=CHAGEE%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkYnI2TdmowgZQlvmpqH3rm_0K1EWtPs3Ex0J-pGM6acwXuY1YSZNGKiSLkJV03ne3596EV5xVDKAa_v58S2MwczYuVOaCxYrrhhaCCpcLq0YEDJMq8J8_gXk0EHld0wdSucRjfXbzcC2so=w408-h306-k-no,google-maps,https://www.lemon8-app.com/@seaconplus_bangkae/7602836162918515201?region=th,Official Seacon Plus 2026 update names this branch on floor 1; Maps needs-review; checked 2026-09-21. User-verified correction: HI TEA EVERYDAY was a duplicate of this branch.
chester-s-c8b9d9ee,Chester's,อาหารจานด่วนและตะวันตก,อาคารหลัก,1,needs-review,https://www.google.com/maps/search/?api=1&query=Chester's%20Seacon%20Bangkae,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnR-IXHDPLhNLptC0pl1lC-PHQeWJuleoEBHiiP_B_sS9-iRvbCnDtPFvdN5EmfAlZQtJkV87tjCuzHyF6HucxBYU6D0iRRYvMl8I7Q_Wlg_X1EOVe9FQCSCkw4ocNHA1dQ7arS2PibAOS1=w408-h306-k-no,google-maps,https://www.punpro.com/p/Seacon-bangkae-all-the-restaurants-2024,Google Maps evidence was absent or ambiguous for the exact mall branch; checked 2026-09-21. Retained from Punpro's 2024 floor list for follow-up.
